"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IXDNRS8H","journalArticle","2007","Rice, Jeremy; Faghri, Amir","Analysis of Screen Wick Heat Pipes, Including Capillary Dry-Out Limitations","Journal of Thermophysics and Heat Transfer","","0887-8722, 1533-6808","10.2514/1.24809","https://arc.aiaa.org/doi/10.2514/1.24809","","2007-07","2020-04-20 21:31:30","2020-04-20 21:31:30","2020-04-20 21:31:30","475-486","","3","21","","Journal of Thermophysics and Heat Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2007_Journal of Thermophysics and Heat Transfer_Rice_Faghri_Analysis of Screen Wick Heat Pipes, Including Capillary Dry-Out Limitations.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CR85MZDL","journalArticle","2006","Li, Chen; Peterson, G. P.","Evaporation/Boiling in Thin Capillary Wicks (II)—Effects of Volumetric Porosity and Mesh Size","Journal of Heat Transfer","","0022-1481, 1528-8943","10.1115/1.2349508","https://asmedigitalcollection.asme.org/heattransfer/article/128/12/1320/467492/EvaporationBoiling-in-Thin-Capillary-Wicks","Presented here is the second of a two-part investigation, designed to systematically identify and investigate the parameters affecting the evaporation from and boiling within, thin capillary wicking structures with a range of volumetric porosities and mesh sizes. The experimental studies were investigated under steady-state conditions at atmospheric pressure. Part I of the investigation described the wicking fabrication process and experimental test facility, and focused on the effects of the capillary wick thickness (ASME J. Heat Transfer., 128, pp. 1312–1319). In Part II, we examine the effects of variations in the volumetric porosity and the mesh size. The experimental results presented here indicate that the critical heat flux (CHF) was strongly dependent on both the mesh size and the volumetric porosity; while the evaporation/boiling heat transfer coefficient was significantly affected by mesh size, but not strongly dependent on the volumetric porosity. The experimental results further illustrate that the menisci at the CHF are located in the corners, formed by the wire and the heated wall and between the wires in both the vertical and horizontal directions. The minimum value of these three menisci determined the maximum capillary pressure generated through the capillary wick. The experimental results and observations are systematically presented and analyzed, and the local bubble and liquid vapor interface dynamics are examined theoretically. Based on the relative relationship between the heat flux and superheat, classic nucleate boiling theory, and the visual observations of the phase-change phenomena, as well as by combining the results obtained here with those obtained in Part I of the investigation, the evaporation/boiling heat transfer regimes in these capillary wicking structures are identified and discussed.","2006-12-01","2020-04-20 21:32:42","2020-04-20 21:32:42","2020-04-20 21:32:42","1320-1328","","12","128","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2006_Li_Peterson_Evaporation-Boiling in Thin Capillary Wicks (II)—Effects of Volumetric Porosity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZYRW5E2","journalArticle","2013","Bodla, Karthik K.; Murthy, Jayathi Y.; Garimella, Suresh V.","Evaporation analysis in sintered wick microstructures","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2013.02.038","https://linkinghub.elsevier.com/retrieve/pii/S0017931013001531","Heat pipes offer passive transport of heat over long distances without incurring a signiﬁcant drop in temperature. Topological and microstructural details of the wick material embedded in a heat pipe help determine its thermal performance. A good understanding of pore-scale transport phenomena is crucial to enhancing heat pipe performance. In this study, pore-scale analysis of thin-ﬁlm evaporation through sintered copper wicks is performed. X-ray microtomography is employed to generate geometrically faithful, feature-preserving meshes. Commercial sintered wicks with particle sizes in the range of 45–60 lm, 106–150 lm and 250–355 lm and with approximately 61% porosity are considered. The capillary pressure, characteristic pore radius, percentage thin ﬁlm area and evaporative mass and heat ﬂuxes are computed using a volume of ﬂuid (VOF) approach. Two different solution strategies are employed to stabilize the numerical solution and to improve convergence. After verifying that these strategies yield the correct solution, the VOF model is used to obtain static meniscus shapes in the pore space of the sintered wick samples. The meniscus shape is then held ﬁxed and steady-state, thin-ﬁlm evaporation analysis is performed. Liquid–vapor phase change heat transfer is modeled using a modiﬁed Schrage equation. Based on the present analysis, the best performing sample (particle size range) is identiﬁed along with the optimum contact angle.","2013-06","2020-04-20 21:39:46","2020-04-20 21:39:46","2020-04-20 21:39:46","729-741","","","61","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2013_International Journal of Heat and Mass Transfer_Bodla et al_Evaporation analysis in sintered wick microstructures.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5WNJ5TKA","book","1953","Schrage, Robert W.","A Theoretical Study of Interphase Mass Transfer","","978-0-231-87736-7","","","https://www.degruyter.com/view/title/548363","A detailed study of the theory of interphase mass transfer as it relates to engineering operations. Examines the mechanism of interphase mass transfer, to determine under what conditions the assumption of thermodynamic equilibrium is inadequate. Looks specifically at gas-liquid and gas-solid systems.","1953-03-02","2020-04-20 23:46:22","2020-04-20 23:46:28","2020-04-20 23:46:22","","","","","","","","","","","","Columbia University Press","","en","","","","","www.degruyter.com","","Publication Title: A Theoretical Study of Interphase Mass Transfer DOI: 10.7312/schr90162","","C:\Users\bonga\Zotero\storage\ZDMZKZJG\548363.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKNP9UHD","book","2020","Carey, Van P","Liquid-vapor phase-change phenomena: an introduction to the thermophysics of vaporization and condensation processes in heat transfer equipment","","1-4987-1667-9","","","","","2020","2020-04-21 00:17:17","2020-04-21 00:17:17","","","","","","","","","","","","","CRC Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GXBNUMCR","journalArticle","2016","Tetreault-Friend, Melanie; Azizian, Reza; Bucci, Matteo; McKrell, Thomas; Buongiorno, Jacopo; Rubner, Michael; Cohen, Robert","Critical heat flux maxima resulting from the controlled morphology of nanoporous hydrophilic surface layers","Applied Physics Letters","","0003-6951, 1077-3118","10.1063/1.4954012","http://aip.scitation.org/doi/10.1063/1.4954012","","2016-06-13","2020-05-16 18:49:00","2020-05-16 18:49:00","2020-05-16 18:49:00","243102","","24","108","","Appl. Phys. Lett.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\surface_modifications\2016_Appl. Phys. Lett._Tetreault-Friend et al_Critical heat flux maxima resulting from the controlled morphology of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYCFR2G3","journalArticle","2016","Zou, An; Singh, Dhirendra P.; Maroo, Shalabh C.","Early Evaporation of Microlayer for Boiling Heat Transfer Enhancement","Langmuir","","0743-7463, 1520-5827","10.1021/acs.langmuir.6b02642","https://pubs.acs.org/doi/10.1021/acs.langmuir.6b02642","For over ﬁve decades, an enhancement in pool boiling heat transfer has been achieved by altering the surface wetting, wickability, roughness, nucleation site density, and providing separate liquid/vapor pathways. In this work, a new enhancement mechanism based on the early evaporation of the microlayer is discovered and validated. The microlayer is a thin liquid ﬁlm present at the base of a vapor bubble. The presence of microridges on the silicon dioxide surface partitions the microlayer and disconnects it from the bulk liquid, causing it to evaporate sooner, thus leading to increase in the bubble growth rate, heat transfer, departure frequency, and critical heat ﬂux (CHF). Compared to a plain surface, an ∼120% enhancement in CHF is obtained with only an ∼18% increase in surface area. A CHF enhancement map is developed on the basis of the ridge height and spacing, resulting in three regions of full, partial, and no enhancement. The new mechanism is validated by comparing the growth rate of a laser-created vapor bubble on a ridgestructured surface and a plain surface, and the corresponding prediction of the CHF enhancement is found to be in good agreement with the experimental boiling data. This discovery opens up a new ﬁeld of CHF enhancement and can potentially be coupled with existing techniques to further push the limits of boiling heat transfer.","2016-10-25","2020-05-16 18:52:31","2020-05-16 18:52:31","2020-05-16 18:52:31","10808-10814","","42","32","","Langmuir","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\surface_modifications\2016_Langmuir_Zou et al_Early Evaporation of Microlayer for Boiling Heat Transfer Enhancement.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRIXJHWJ","journalArticle","2015","Dhillon, Navdeep Singh; Buongiorno, Jacopo; Varanasi, Kripa K.","Critical heat flux maxima during boiling crisis on textured surfaces","Nature Communications","","2041-1723","10.1038/ncomms9247","http://www.nature.com/articles/ncomms9247","","2015-11","2020-05-16 23:47:15","2020-05-16 23:47:16","2020-05-16 23:47:15","8247","","1","6","","Nat Commun","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\surface_modifications\2015_Nat Commun_Dhillon et al_Critical heat flux maxima during boiling crisis on textured surfaces.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCBS3TYJ","journalArticle","1971","Raad, Ted; Myers, John E.","Nucleation studies in pool boiling on thin plates using liquid crystals","AIChE Journal","","0001-1541, 1547-5905","10.1002/aic.690170543","http://doi.wiley.com/10.1002/aic.690170543","","1971-09","2020-05-20 02:14:21","2020-05-20 02:14:21","2020-05-20 02:14:21","1260-1261","","5","17","","AIChE J.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\visualizations\1971_AIChE J._Raad_Myers_Nucleation studies in pool boiling on thin plates using liquid crystals.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95PT7JQC","journalArticle","1963","Kirby, D.B.; Westwater, J.W.","Photography from below: nucleate boiling on electrically-heated horizontal glass plates","Chemical Engineering Science","","00092509","10.1016/0009-2509(63)80036-6","https://linkinghub.elsevier.com/retrieve/pii/0009250963800366","","1963-07","2020-05-20 03:23:06","2020-05-20 03:23:06","2020-05-20 03:23:06","469","","7","18","","Chemical Engineering Science","Photography from below","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\visualizations\1963_Chemical Engineering Science_Kirby_Westwater_Photography from below.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TADFSZF","journalArticle","2015","Zhou, J.; Wang, S.; Gao, L.; Zhao, L.; Pang, L.","Study on Flow Instability Inside Multiple Parallel Pipes of Direct Steam Generation","Energy Procedia","","18766102","10.1016/j.egypro.2015.03.030","https://linkinghub.elsevier.com/retrieve/pii/S1876610215003367","Flow instability in parallel pipes is closely related with the application of direct steam generation (DSG) for parabolic trough solar power technology. Maldistribution of the flow rate may occur in heated parallel pipes with common inlet and outlet manifolds. The theoretical analysis on four parallel pipes that undergoes a process of heating and evaporation during different heating loads is carried out to indicate all the possible steady-state solutions. Stable solutions and unstable solutions are differentiated through linear stability analysis. It is shown that the more number of heated pipes, the more stable steady state solutions of the splitting ratios, and the greater range of uneven flow rate distribution. Transient analysis is applied to simulate the response of the system to finite disturbances and the performance due to variations in operating conditions by Simulink of Matlab. The results confirm the correctness of the linear stability analysis, and a hysteresis phenomenon is observed when a solution is turning to another solution, even for unstable ones. In addition, A method is proposed to improve flow distribution uniformity in parallel pipes by installing a resistant orifice at the inlet of each pipe where is not heated.","2015-05","2020-05-26 22:34:05","2020-05-26 22:34:05","2020-05-26 22:34:05","259-268","","","69","","Energy Procedia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\flow_boiling\ValidationTijsModel\2015_Energy Procedia_Zhou et al_Study on Flow Instability Inside Multiple Parallel Pipes of Direct Steam.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HL8K87NC","journalArticle","2011","Baikin, Mordechai; Taitel, Yehuda; Barnea, Dvora","Flow rate distribution in parallel heated pipes","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2011.04.034","https://linkinghub.elsevier.com/retrieve/pii/S0017931011002535","The ﬂow of evaporating ﬂuids in parallel pipes, takes place in many applications such as heat exchangers, power plants, cooling systems and in the nuclear industry. It is a common knowledge that maldistribution of the ﬂow rates may occur in evaporating liquid ﬂowing in parallel pipes with common inlet and outlet manifolds.","2011-09","2020-05-27 15:55:56","2021-06-06 19:55:23","2020-05-27 15:55:56","4448-4457","","19-20","54","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\flow_boiling\ValidationTijsModel\2011_International Journal of Heat and Mass Transfer_Baikin et al_Flow rate distribution in parallel heated pipes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF693IS4","journalArticle","2009","Bertsch, Stefan S.; Groll, Eckhard A.; Garimella, Suresh V.","A composite heat transfer correlation for saturated flow boiling in small channels","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2008.10.022","https://linkinghub.elsevier.com/retrieve/pii/S0017931008006315","Recent reviews of ﬂow boiling heat transfer in small tubes and channels have highlighted the need for predictive correlations that are applicable over a wide range of parameters and across different studies. A composite correlation is developed in the present work which includes nucleate boiling and convective heat transfer terms while accounting for the effect of bubble conﬁnement in small channels. The correlation is developed from a database of 3899 data points from 14 studies in the literature covering 12 different wetting and non-wetting ﬂuids, hydraulic diameters ranging from 0.16 to 2.92 mm, and conﬁnement numbers from 0.3 to 4.0. The mass ﬂuxes included in the database range from 20 to 3000 kg mÀ2 sÀ1, the heat ﬂuxes from 0.4 to 115 W cmÀ2, the vapor qualities from 0 to 1, and the saturation temperatures from À194 to 97 °C. While some of the data sets show opposing trends with respect to some parameters, a mean absolute error of less than 30% is achieved with the proposed correlation.","2009-03","2020-05-27 22:42:55","2020-05-27 22:42:55","2020-05-27 22:42:55","2110-2118","","7-8","52","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\flow_boiling\ValidationTijsModel\2009_International Journal of Heat and Mass Transfer_Bertsch et al_A composite heat transfer correlation for saturated flow boiling in small.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EBW4LG8","journalArticle","2002","Theofanous, T G; Dinh, T N; Tu, J P; Dinh, A T","The boiling crisis phenomenon Part II: dryout dynamics and burnout","Experimental Thermal and Fluid Science","","","","","This is Part II of a two-part paper on the boiling crisis phenomenon. Here we report on burnout experiments conducted on fresh and aged heaters in pool boiling. Critical heat ﬂuxes (CHFs) were found to vary from 50% to 140% of the hydrodynamic limit, previously thought to exist at well-wetting conditions. The burnout events were captured in action (for the ﬁrst time), using highspeed, high-resolution infrared thermometry. Based on these observations and in conjunction with the levels of CHF reached, we are led to conclude that the phenomenon cannot be (macro)hydrodynamically limited, at least at normal pressure and gravity conditions. Based on infrared thermometry, and aided by X-ray radiography data on void fraction, the case for a scale separation phenomenon in high heat ﬂux pool boiling is argued. This indicates that boiling crisis is controlled by the microhydrodynamics and rupture of an extended liquid microlayer, sitting and vaporizing autonomously on the heater surface. Further, the detailed dynamics of this microlayer, as revealed by our experiments, demonstrates that all previous thermally based models of boiling crisis are inappropriate.","2002","2020-05-28 22:10:05","2020-05-28 22:10:05","","18","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\visualizations\2002_Theofanous et al_The boiling crisis phenomenon Part II.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLAWT6T8","journalArticle","2002","Theofanous, T G; Tu, J P; Dinh, A T; Dinh, T N","The boiling crisis phenomenon Part I: nucleation and nucleate boiling heat transfer","Experimental Thermal and Fluid Science","","","","","This paper (Part I) and the companion paper (Part II, Exp. Therm. Fluid. Sci. 26 (6–7) (2002) 793–810) present results of an experimental study on nucleate pool boiling. The experiments were conducted under highly-controlled conditions, using electrically heated, vapor-deposited sub-micron metallic ﬁlms. A high-speed, high-resolution infrared camera was used to visualize dynamic thermal patterns on the heater’s surface over a broad range of heat ﬂuxes, starting from the onset of nucleation and up to boiling crisis. Both fresh heaters and aged heaters were experimented with. The heaters’ surface nanomorphology and chemistry were characterized with atomic force microscopy, scanning electron microscopy, and X-ray diﬀraction spectroscopy. First-of-a-kind experimental data on nucleation and boiling heat transfer at high heat ﬂuxes are presented, and a stark diﬀerence between fresh and aged heaters is revealed. Remarkable are the origin, evolution and dynamics of the heater dryout process (leading to burnout), identiﬁed quantitatively and captured in action for the ﬁrst time.","2002","2020-05-28 22:10:08","2020-05-28 22:10:08","","18","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\visualizations\2002_Theofanous et al_The boiling crisis phenomenon Part I.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88AWA7XC","journalArticle","2002","Kandlikar, Satish G.; Steinke, Mark E.","Contact angles and interface behavior during rapid evaporation of liquid on a heated surface","International Journal of Heat and Mass Transfer","","00179310","10.1016/S0017-9310(02)00090-X","https://linkinghub.elsevier.com/retrieve/pii/S001793100200090X","Photographic observations of the boiling phenomena have played an important role in gaining insight into the boiling mechanism. This paper presents a brief historical review of the available literature on the photographic studies in pool and ﬂow boiling. This is followed by the results of the photographic studies conducted in the authors’ laboratory on liquid droplets impinging on a heated surface. Liquid–vapor interface and contact line movements are observed through a high speed camera at high resolution. The eﬀect of surface roughness and surface temperature on dynamic advancing and receding contact angles has been studied. In addition, the eﬀects of rapid evaporation on advancing and receding contact angles, liquid–vapor interface motion, and the dryout front propagation have been investigated. Ó 2002 Elsevier Science Ltd. All rights reserved.","2002-08","2020-05-30 02:01:54","2020-05-30 02:01:54","2020-05-30 02:01:54","3771-3780","","18","45","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\BOiling\visualizations\2002_International Journal of Heat and Mass Transfer_Kandlikar_Steinke_Contact angles and interface behavior during rapid evaporation of liquid on a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X86JZLNB","journalArticle","2020","Li, Wenming; Wang, Zuankai; Yang, Fanghao; Alam, Tamanna; Jiang, Mengnan; Qu, Xiaopeng; Kong, Fengyu; Khan, Ahmed Shehab; Liu, Minjie; Alwazzan, Mohammad; Tong, Yan; Li, Chen","Supercapillary Architecture‐Activated Two‐Phase Boundary Layer Structures for Highly Stable and Efficient Flow Boiling Heat Transfer","Advanced Materials","","0935-9648, 1521-4095","10.1002/adma.201905117","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201905117","","2020-01","2020-05-30 03:51:06","2020-05-30 03:51:06","2020-05-30 03:51:06","1905117","","2","32","","Adv. Mater.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2020_Adv. Mater._Li et al_Supercapillary Architecture‐Activated Two‐Phase Boundary Layer Structures for.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YM7GWIN8","journalArticle","1989","Thompson, Peter A.; Robbins, Mark O.","Simulations of contact-line motion: Slip and the dynamic contact angle","Physical Review Letters","","0031-9007","10.1103/PhysRevLett.63.766","https://link.aps.org/doi/10.1103/PhysRevLett.63.766","","1989-08-14","2020-05-30 15:22:02","2020-05-30 15:22:02","2020-05-30 15:22:02","766-769","","7","63","","Phys. Rev. Lett.","Simulations of contact-line motion","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Contact Line Dynamics\1989_Phys. Rev. Lett._Thompson_Robbins_Simulations of contact-line motion.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IIZJS67K","journalArticle","2004","Minzer, Uri; Barnea, Dvora; Taitel, Yehuda","Evaporation in parallel pipes––splitting characteristics","International Journal of Multiphase Flow","","03019322","10.1016/j.ijmultiphaseflow.2004.04.006","https://linkinghub.elsevier.com/retrieve/pii/S0301932204000527","Utilizing solar power using parabolic trough collectors for energy is considered most proven and lowest cost for large-scale solar power technology. So far commercial plants used oil as the primary heated ﬂuid and steam was produced in a secondary heat exchanger. This seem to be a very ineﬃcient process due to the need of extra heat exchangers and extra losses incurred while heat is transferred from oil to steam. The reason oil is used as the primary heated ﬂuid is partially due to the reluctance of the designer to deal with the behavior of two-phase, water steam, in parallel pipes owing to the possible uneven ﬂow distribution and instability related problems.","2004-07","2020-06-04 00:46:38","2020-06-04 00:46:38","2020-06-04 00:46:38","763-777","","7-8","30","","International Journal of Multiphase Flow","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\flow_boiling\ValidationTijsModel\2004_International Journal of Multiphase Flow_Minzer et al_Evaporation in parallel pipes––splitting characteristics.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47G6J2NZ","journalArticle","2018","Van Oevelen, Tijs; Weibel, Justin A.; Garimella, Suresh V.","The effect of lateral thermal coupling between parallel microchannels on two-phase flow distribution","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2018.03.073","https://linkinghub.elsevier.com/retrieve/pii/S0017931017356272","Evaporating ﬂows in parallel channels occurring in a variety of industrial heat exchange processes can encounter non-uniform ﬂow distribution between channels as a result of two-phase ﬂow instabilities. Such ﬂow maldistribution can have a negative impact on the performance, robustness and predictability of these systems. Two-phase ﬂow modeling can assist in understanding the mechanistic behavior of this ﬂow maldistribution, as well as determine parametric trends and identify safe operating conditions.","2018-09","2020-06-19 13:33:49","2020-06-19 13:33:49","2020-06-19 13:33:49","769-781","","","124","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\flow_boiling\2018_International Journal of Heat and Mass Transfer_Van Oevelen et al_The effect of lateral thermal coupling between parallel microchannels on.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69PHAWGL","journalArticle","2017","Nigam, Adarsh; Bhat, Thirumaleshwara N.; Rajamani, Saravanan; Dolmanan, Surani Bin; Tripathy, Sudhiranjan; Kumar, Mahesh","Effect of self-heating on electrical characteristics of AlGaN/ GaN HEMT on Si (111) substrate","AIP Advances","","2158-3226","10.1063/1.4990868","http://aip.scitation.org/doi/10.1063/1.4990868","","2017-08","2020-07-01 22:46:38","2020-07-01 22:46:38","2020-07-01 22:46:38","085015","","8","7","","AIP Advances","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\NEPTUNE Project\GaN HEMT\2017_AIP Advances_Nigam et al_Effect of self-heating on electrical characteristics of AlGaN- GaN HEMT on Si.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLGMTQG8","journalArticle","2007","Sadi, Toufik; Kelsall, Robert W.; Pilgrim, Neil J.","Electrothermal Monte Carlo simulation of submicron wurtzite GaN/AlGaN HEMTs","Journal of Computational Electronics","","1569-8025, 1572-8137","10.1007/s10825-006-0051-4","http://link.springer.com/10.1007/s10825-006-0051-4","We present results from the simulation of the electrothermal behaviour of submicron wurtzite GaN/AlGaN High Electron Mobility Transistors (HEMTs). The simulator uses an iterative procedure which couples a Monte Carlo simulation with a fast Fourier series solution of the Heat Diffusion Equation (HDE). The results demonstrate the dependence of the extent of the thermal droop observed in the Ids-Vds characteristics and the device peak temperature on the device bias. The paper also investigates the effect of the inclusion of thermal self-consistency on the device microscopic properties and studies the dependence of the device electrothermal characteristics on the type of substrate material used.","2007-04-09","2020-07-01 23:01:59","2020-07-01 23:01:59","2020-07-01 23:01:59","35-39","","1-3","6","","J Comput Electron","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\NEPTUNE Project\GaN HEMT\2007_J Comput Electron_Sadi et al_Electrothermal Monte Carlo simulation of submicron wurtzite GaN-AlGaN HEMTs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z7VYC3XE","journalArticle","2003","Jeong Park; Moo Whan Shin; Lee, C.C.","Thermal modeling and measurement of GaN-based HFET devices","IEEE Electron Device Letters","","0741-3106, 1558-0563","10.1109/LED.2003.814020","http://ieeexplore.ieee.org/document/1217285/","In this letter, we present our thermal study results of GaN-based heterojunction field effect transistors (HFETs). In thermal computation, PAMICE code was used to calculate temperatures in a three-dimension (3-D) model. In the rmal measurement, nematic liquid crystal thermography was employed to determine the peak temperature on the surface of the device chip. The calculated and directly measured temperatures agree well. These methods are valuable in predicting the thermal performance of GaN-based HFET devices, in particular the power devices.","2003-07","2020-07-01 23:10:31","2020-07-01 23:10:31","2020-07-01 23:10:31","424-426","","7","24","","IEEE Electron Device Lett.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\NEPTUNE Project\GaN HEMT\2003_IEEE Electron Device Lett._Jeong Park et al_Thermal modeling and measurement of GaN-based HFET devices.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G49XDN2U","journalArticle","1996","Wu, Y.-F.; Keller, B.P.; Keller, S.; Kapolnek, D.; Denbaars, S.P.; Mishra, U.K.","Measured microwave power performance of AlGaN/GaN MODFET","IEEE Electron Device Letters","","0741-3106, 1558-0563","10.1109/55.536291","http://ieeexplore.ieee.org/document/536291/","We report the first microwave power measurement on GaN FET’s. At 2 GHz, a class A output power density of 1.1 W/mm with a power added efficiency of 18.6% was obtained on a 1 gm gate-length AlGaN/GaN MODFET. Mathematical simulation estimated that the transistor was operating at a channel temperature of 360 C as a result of the poor thermal conductivity of the sapphire substrate. Despite this serious heating problem, the power output density still rivals GaAs MESFET’s.","1996-09","2020-07-01 23:43:32","2020-07-01 23:43:32","2020-07-01 23:43:32","455-457","","9","17","","IEEE Electron Device Lett.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\NEPTUNE Project\GaN HEMT\1996_IEEE Electron Device Lett._Wu et al_Measured microwave power performance of AlGaN-GaN MODFET.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
